x: 9.001, y: 124.02700149999995, E: 0.0e+00
x: 9.003, y: 124.08101349999995, E: 0.0e+00
x: 9.007, y: 124.18907349999995, E: 0.0e+00
x: 9.014999999999999, y: 124.40533749999994, E: 0.0e+00
x: 9.030999999999999, y: 124.83844149999994, E: 0.0e+00
x: 9.062999999999999, y: 125.70695349999994, E: 0.0e+00
x: 9.126999999999999, y: 127.45319349999994, E: 0.0e+00
x: 9.254999999999999, y: 130.98253749999995, E: 0.0e+00
x: 9.511, y: 138.18868149999994, E: 0.0e+00
x: 10.0, y: 152.49999999999997, E: 0.0e+00
Ex: 0, hMin count: 0, X count: 10
