x: 0.0, y: -0.14499999999999924, y': 0.14499999999999924
x: 0.1, y: -0.12479999999999937, y': 0.1719999999999993
x: 0.2, y: -0.09139999999999952, y': 0.25299999999999934
x: 0.3, y: -0.040599999999999685, y': 0.3879999999999994
x: 0.4, y: 0.03180000000000027, y': 0.5769999999999996
x: 0.5, y: 0.13000000000000012, y': 0.8199999999999996
x: 0.6, y: 0.2582000000000003, y': 1.1169999999999993
x: 0.7, y: 0.42060000000000036, y': 1.4679999999999993
x: 0.8, y: 0.6214000000000004, y': 1.8729999999999996
x: 0.9, y: 0.8648000000000005, y': 2.3319999999999994
x: 1.0, y: 1.1550000000000002, y': 2.8449999999999993
